1	Vosim 99S			Jo Scherpenisse	99S	Vosim		Thuis	Sound synthesizer	Jos Jansen	Ongetest		TMS9900	16bits							?	LU			Hardware_Vosim_99S_picture.jpg
167	C-Itoh CIT101 (1)			C-Itoh	CIT 101	CIT-101		Depot	Terminal	Museum	OK												16 augustus 2016		
168	C-Itoh CIT101 (2)			C-Itoh	CIT 101	CIT-101		Depot	Terminal	Museum	OK														
169			42001041	SGI	CMN B006	Indy	08006906f29d	Depot															7 mei 2014		
170	SGI Personal Iris (1)			SGI	CMN-B001	SGI Personal Iris	E0130444	Depot	Workstation	Museum	Defect		MIPS												
171	SGI Personal Iris (2)			SGI	CMN-B001	SGI Personal Iris	E5044086	Depot	Workstation	Museum	Defect		MIPS												
172	SGI Indy (3)			SGI	CMN-B006	SGI Indy	0b:00:69:06:14:0f	Depot	Workstation	Museum	Defect		MIPS									DND	9 augustus 2014		
173			42001019	SGI	CMNB003B	Iris Indigo	024-8047-006 / 35502746	Depot	Voeding																
174	SGI Indigo2 (1)			SGI	CMNB007AF175	SGI Indigo2	08:00:69:0B:24:EF	Depot	Workstation	Museum	?		MIPS												
175	Friden Computyper typewriter			Friden	Computyper	Friden Computyper		Depot	Typewriter	Museum	see notes		Electromechanisch												
176	Amstrad/Schneider CPC-464			Amstrad/Schneider	CPC-464	Colour Personal Computer	196372	Depot	Homecomputer	Museum	OK		Z80		Schneider BASIC										
177	Schneider CPC-464 (2)			Schneider	CPC-464	Schneider CPC-464	533-7631031	Depot	Homecomputer	Museum	OK		Z80		Schneider BASIC										
178	Schneider CPC-6128 (2)			Schneider	CPC-6128	Schneider CPC-6128	5326727056	Depot	Homecomputer		Defect														
179	Schneider CPC-6128 (1)			Schneider	CPC-6128	Schneider CPC-6128	5326727057	Depot	Homecomputer		OK		Z80												
180	Schneider CPC-6128 (3)			Schneider	CPC-6128	Schneider CPC-6128	5326727101	Depot	Homecomputer		OK											DND	9 augustus 2014		
181	OCE CPT 8515			OCE	CPT 8515	OCE CPT 8515		Depot	Tekstverwerker	Museum	OK											DND	9 augustus 2014		
182			42001059	Avocent	D51S		520118903	Depot														DND	9 augustus 2014		
183			42001057	Compaq	D51S		CZC3180SPZ	Depot														DND	9 augustus 2014		
